center,surround,type,surr_type,surr_opacity,isi
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.5
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,0.75
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.0
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
-2,15.0,c-2,poss,100,1.25
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.5
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,0.75
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.0
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
0,15.0,c+0,poss,100,1.25
2,15.0,c+2,poss,100,0.5
2,15.0,c+2,poss,100,0.5
2,15.0,c+2,poss,100,0.5
